medcodeid,term
7775161000006111,Assessment using Clinical Outcomes in Routine Evaluation Learning Disabilities
7558781000006111,"PPMX - Mental retardation with psychosis, pyramidal signs, and macroorchidism"
7780441000006117,X-linked intellectual disability Abidi type
7282241000006112,Nonverbal learning disability
7963201000006116,"Ectodermal dysplasia, intellectual disability, central nervous system malformation syndrome"
667621000006119,Feeble-minded
7560051000006114,Partington x-linked mental retardation syndrome
3501751000006112,Amaurotic idiocy juvenile type
1009621000006117,Cause of learning disabilities: Phenylketonuria
7810271000006110,"ACD (alopecia, contracture, dwarfism) mental retardation syndrome"
7745751000006114,Intellectual disability and short stature with hand contracture and genital anomaly syndrome
12009521000006116,"Intellectual disability, alacrima, achalasia syndrome"
7953651000006113,"Ichthyosis, intellectual disability, dwarfism, renal impairment syndrome"
7812761000006110,"Intellectual disability, epilepsy, bulbous nose syndrome"
1872731000006110,Special education needs - learning difficulty
7882151000006111,"X-linked intellectual disability, nail dystrophy, seizures syndrome"
7772951000006117,Clinical Outcomes in Routine Evaluation Learning Disabilities risk score
12077271000006118,PPP2R5D-related intellectual disability
2528351000006115,General learning disability
398661000006116,[X]Mld mental retard with statement no or min impairm behav
426541000006119,[X]Sev mental retardation without mention impairment behav
411791000006118,[X]Other mental retardation without mention impairment behav
2452401000000113,Community learning disability care plan
3047011000006110,Hyperphosphatasaemia with mental retardation
1177051000000116,Did not attend learning disabilities annual health check
8368131000006110,"HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3D score - anxiety, phobias, obsessive or compulsive behaviour"
7779221000006113,X-linked intellectual disability Siderius type
7809741000006117,"Brachycephaly, deafness, cataract, intellectual disability syndrome"
7782491000006110,X-linked intellectual disability with hypogammaglobulinemia and progressive neurological deterioration syndrome
787151000006113,Idiocy
7958141000006110,"Spastic paraplegia, glaucoma, intellectual disability syndrome"
386751000006111,[X]Feeble-mindedness
8195041000006117,Cause of learning disability
7786181000006118,Microcephaly and intellectual disability with phalangeal and neurological anomaly syndrome
5932891000006111,American Association on Mental Retardation (AAMR) adaptive behavior scale
423521000006119,[X]Profound mental subnormality
7779251000006116,X-linked intellectual disability Stoll type
8337561000006119,Significant learning disability
5932901000006110,American Association on Mental Retardation adaptive behavior scale
12023851000006118,"Cryptorchidism, arachnodactyly, intellectual disability syndrome"
2740441000000119,Mild mental retardation with minimal impairment of behaviour
2740451000000116,Mild mental retardation with impairment of behaviour
7811761000006116,Deafness and intellectual disability Martin Probst type syndrome
12009571000006115,"Intellectual disability, brachydactyly, Pierre Robin syndrome"
2740341000000113,Severe mental retardation without significant impairment of behaviour
7780341000006113,X-linked intellectual disability Wilson type
7782591000006114,Syndromic X-linked intellectual disability due to JARID1C (jumonji at-rich interactive domain 1c) mutation
7772541000006110,CORE-LD (Clinical Outcomes in Routine Evaluation - Learning Disabilities) total score
8296651000006116,Assessment using Sheffield learning disabilities outcome measure
7957711000006111,"Metaphyseal dysostosis, intellectual disability, conductive deafness syndrome"
8367621000006116,"HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3D - anxiety, phobias, obsessive or compulsive behaviour"
1620441000006116,Learning disability
882801000006117,Mental subnormality NOS
1855811000006118,Learning disability monitoring in primary care
398251000006116,[X]Mental subnormality NOS
7560121000006116,Snyder-Robinson x-linked mental retardation syndrome
3910951000006114,Mild learning disability
398231000006111,[X]Mental retardation
621631000000114,Referral to learning disabilities psychiatrist
7567011000006112,Lubs X-linked mental retardation syndrome
7780391000006116,X-linked intellectual disability Cilliers type
7791271000006118,X-linked intellectual disability Cabezas type
398651000006118,[X]Mld mental retard sig impairment behav req attent/treatmt
1887331000006119,Specific learning disability
2731811000006117,Amaurotic idiocy late infantile type
2740311000000112,Profound mental retardation with impairment of behaviour
7730431000006119,Assessment using American Association on Mental Retardation Adaptive Behaviour Scale
7772531000006117,Clinical Outcomes in Routine Evaluation Learning Disabilities total score
12048691000006117,"Activity dependent neuroprotector homeobox related multiple congenital anomalies, intellectual disability, autism spectrum disorder"
6989771000006117,X-linked mental retardation with marfanoid habitus syndrome
12178721000006116,Hyperphosphatasemia with intellectual disability
7855071000006118,"Growth delay, deafness, intellectual disability syndrome"
3003341000006110,"Profound learning disability, intelligence quotient less than 20"
2740391000000115,Moderate mental retardation with significant impairment of behaviour
431231000006115,"[X]Unspecified mental retardatn, other impairments of behav"
5941451000006113,Under care of psychiatrist for mental handicap
12002931000006115,"Cerebellar ataxia, intellectual disability, oculomotor apraxia, cerebellar cysts syndrome"
8313061000006110,Learning disability service
8367791000006114,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 5 score - memory and orientation
7741171000006119,Goniodysgenesis with intellectual disability and short stature syndrome
7938041000006112,"X-linked intellectual disability, limb spasticity, retinal dystrophy, diabetes insipidus syndrome"
1009801000006111,Level of support for person with adult learning disablts. (ALD)
8365541000006116,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 13 - seizures
8187221000006111,Assessment using HoNOS-LD (health of the nation outcome scale for learning disabilities)
3507791000006113,Amaurotic idiocy adult type
3003311000006111,Profound mental retardation (Intelligence Quotient below 20)
7779261000006119,X-linked intellectual disability Turner type
417681000006116,[X]Overactive disorder assoc mental retard/stereotype movts
7741181000006116,Goniodysgenesis with mental deficiency and short stature
2435151000000112,Intellectual development disorder of unknown aetiology
7782161000006110,X-linked intellectual disability with cerebellar hypoplasia syndrome
7786891000006113,Disorder of sex development with intellectual disability syndrome
7730701000006117,Alpha thalassemia X-linked intellectual disability syndrome
7782561000006118,X-linked intellectual disability Ahmad type
7791291000006117,X-linked intellectual disability with plagiocephaly syndrome
7558791000006114,"X-linked mental retardation, syndromic 13"
7866201000006117,"X-linked spasticity, intellectual disability, epilepsy syndrome"
8367741000006117,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 18 score - occupation and activities
7577251000006111,"Microcephaly, mental retardation and distinct features, with or without Hirschsprung disease"
7577051000006119,Progressive epilepsy with mental retardation
2403181000000114,Seen by learning disability team
7831931000006118,"Intellectual disability, developmental delay, contracture syndrome"
2731761000006112,"Amaurotic idiocy, late infantile type"
7780891000006111,Osteopoikilosis with short stature and intellectual disability syndrome
1759311000006114,Health of the nation outcome scale learning disabilities score
8458421000006118,Emergency hospital admission to learning disability service
12357871000006119,Blepharophimosis-intellectual disability syndrome Maat-Kievit-Brunner type
7831911000006112,"Intellectual disability, hypoplastic corpus callosum, preauricular tag syndrome"
1941121000006114,CORE - LD (Clinical Outcomes in Routine Evaluation - Learning Disabilities)
7810901000006111,Postaxial polydactyly and intellectual disability syndrome
7813711000006115,"SESAME (seizures, sensorineural deafness, ataxia, mental retardation, electrolyte imbalance) syndrome"
12000401000006119,"Hereditary motor and sensory neuropathy with deafness, intellectual disability and absent sensory large myelinated fibres"
3155181000006116,Severe mental retardation (Intelligence Quotient 20-34)
12728531000006116,Other specified mental retardation NOS
3505252012,Alpha-thalassaemia intellectual disability syndrome linked to chromosome 16
12358681000006116,Partington X-linked intellectual disability syndrome
5095461000006114,"Prune belly syndrome with pulmonic stenosis, mental retardation and deafness"
398381000006119,[X]Mild mental retardation
785941000006115,Imbecile
8367811000006113,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 7 score - communication (problems with expression)
296557014,"[X]Mild mental retardation, other impairments of behaviour"
8367591000006118,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3A - behaviour destructive to property
8367781000006111,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 4 score - attention and concentration
395051000006119,[X]Learn acquisition disab NOS
751221000000117,Examination of learning disabled patient
12022561000006112,Birk Barel mental retardation dysmorphism syndrome
1755031000006115,Learning disability annual health check invitation third letter
12491421000006112,Clinical Outcomes in Routine Evaluation - Learning Disabilities
7779031000006118,X-linked recessive intellectual disability and macrocephaly with ciliary dysfunction syndrome
264621015,Mental handicap problem
7758101000006119,X-linked epilepsy with learning disability and behavior disorder syndrome
7806471000006114,"Coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability ear anomaly syndrome"
7742291000006117,Hypospadias and intellectual disability syndrome Goldblatt type
2740301000000110,Profound mental retardation with minimal impairment of behaviour
7959031000006111,Megalocornea with intellectual disability syndrome
2474674015,Learning disabilities health assessment
7750941000006118,Intellectual disability associated with fragile site FRAXE
8365431000006110,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 4 - attention and concentration
398391000006116,Mild intellectual disability
1550051000000113,Profound learning disability
1009681000006118,Cause of learning disabilities: Unknown/despite investigation
3505251017,Alpha-thalassemia intellectual disability syndrome linked to chromosome 16
5954321000006111,Referral to psychiatrist for mental handicap
7782551000006115,Syndromic X-linked intellectual disability type 7
398771000006118,[X]Mod mental retard with statement no or min impairm behav
3003361000006114,Profound learning disability
7810331000006116,"Alport syndrome, intellectual disability, midface hypoplasia, elliptocytosis syndrome"
7809721000006112,"Type 1 syndactyly, microcephaly, intellectual disability syndrome"
3462461000006115,"Cutis laxa, corneal clouding AND mental retardation"
8368141000006117,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3E score - others
7830611000006113,Congenital cataract with hypertrichosis and intellectual disability syndrome
426531000006112,[X]Sev mental retard with statement no or min impairm behav
1164251000000114,Learning disability annual health check letter invitation
395061000006117,Learning disability
7749241000006119,American Association on Mental Retardation Adaptive Behavior Scale score
8333361000006115,Learning disability microarray comprehensive genetic test
7735021000006115,"MORM (mental retardation, truncal obesity, retinal dystrophy, micropenis) syndrome"
12368901000006113,"Intellectual disability, epileptic seizures, hypogonadism and hypogenitalism, microcephaly, obesity syndrome"
1741521000006113,Did not attend learning disabilities annual health assessment
8365511000006115,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 10 - problems with sleeping
7730451000006114,Assessment using AAMR ABS (American Association on Mental Retardation Adaptive Behavior Scale)
12009531000006118,"Intellectual disability, polydactyly, uncombable hair syndrome"
3493661000006111,"Moderate learning disability, intelligence quotient in range 35-49"
430071000006118,[X]Unsp mental retardation without mention impairment behav
7574921000006117,Calcium/calmodulin-dependent serine protein kinase related intellectual disability
705691000006116,Mental retardation screen
3507771000006112,Amaurotic idiocy late familial
8027831000006111,HoNOS-LD - Health of the Nation Outcome Scale for learning disabilities
12008051000006111,Intellectual disability due to nutritional deficiency
7786901000006112,Pseudohermaphroditism with intellectual disability syndrome
426591000006111,Severe intellectual disability
8365561000006117,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 15 - activities of daily living outside the home
7959531000006115,"MLCRD (microcephaly with or without chorioretinopathy, lymphoedema or intellectual disability) syndrome"
8365371000006117,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 1 - behavioural problems (directed at others)
7844761000006113,"Corneal anaesthesia, deafness, intellectual disability syndrome"
3910931000006119,"Mild learning disability, intelligence quotient in range 50-70"
4538731000006118,LD - Learning difficulties
12022551000006110,"Intellectual disability, hypotonia, facial dysmorphism syndrome"
7791241000006114,X-linked intellectual disability with precocious puberty and obesity syndrome
7779241000006118,X-linked intellectual disability Stocco Dos Santos type
7782581000006111,Syndromic X-linked intellectual disability due to jumonji at-rich interactive domain 1c mutation
7791161000006118,"Deafness, onychodystrophy, osteodystrophy, intellectual disability syndrome"
3155191000006118,"Severe learning disability, intelligence quotient in range 20-34"
7782471000006114,X-linked intellectual disability and epilepsy with progressive joint contracture and facial dysmorphism syndrome
857391000006110,Referral to learning disability team
8367751000006115,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 2 score - behavioural problems directed towards self (self-injury)
12487771000006110,Mental retardation NOS
7876361000006116,"CAMOS (cerebellar ataxia, mental retardation, optic atrophy, skin abnormalities) syndrome"
7812791000006119,Ectodermal dysplasia with skin anomaly and intellectual disability
507246016,"Mild mental retardation, IQ in range 50-70"
12460891000006119,Mental retardation screening
12035891000006114,"Brachydactyly, mesomelia, intellectual disability, heart defect syndrome"
7560131000006118,"Mental retardation, x-linked, Snyder-Robinson type"
7778221000006116,X-linked intellectual disability with ataxia and apraxia syndrome
7730441000006112,Assessment using American Association on Mental Retardation Adaptive Behavior Scale
7780411000006116,X-linked intellectual disability Cantagrel type
1129811000000119,Moderate learning disability
2740291000000111,Profound mental retardation with significant impairment of behaviour
7778231000006118,X-linked intellectual disability Zorick type
7577261000006113,Hirschsprung disease-mental retardation syndrome
7782511000006116,X-linked intellectual disability and hypotonia with facial dysmorphism and aggressive behavior syndrome
7764831000006116,X-linked mental retardation Reish type
12197931000006114,Borderline intellectual disability
7826551000006113,"Mental retardation, epileptic seizures, hypogonadism and hypogenitalism, microcephaly, obesity syndrome"
398821000006114,[X]Moderate mental subnormality
7791811000006114,Ulna hypoplasia with intellectual disability syndrome
7742511000006112,Early onset parkinsonism and intellectual disability syndrome
7764821000006119,"Brain anomaly, severe mental retardation, ectodermal dysplasia, skeletal deformity, ear anomaly, kidney dysplasia syndrome"
404851000006117,[X]Oth mental retard sig impairment behav req attent/treatmt
12009581000006117,Intellectual disability Wolff type
12703921000006110,Profound mental retardation (I.Q. below 20)
1755011000006114,Learning disability annual health check invitation first letter
2452421000000116,Learning disability care plan
7850201000006113,Seizures and intellectual disability due to hydroxylysinuria syndrome
1741551000006116,Excepted from learning disability quality indicators - informed dissent
398781000006115,[X]Mod mental retardation without mention impairment behav
7780421000006112,X-linked intellectual disability Armfield type
12337641000006113,X-linked intellectual disability with marfanoid habitus
7951861000006110,"Branchial dysplasia, intellectual disability, inguinal hernia syndrome"
7779231000006111,X-linked intellectual disability Stevenson type
12007841000006118,"Aortic arch anomaly, facial dysmorphism, intellectual disability syndrome"
7733121000006115,"Spastic paraplegia, intellectual disability and thin corpus callosum"
7953461000006113,Absent eyebrows and eyelashes with intellectual disability syndrome
12011241000006112,"Pachygyria, intellectual disability, epilepsy syndrome"
12077281000006115,PPP2R5D (protein phosphatase 2 regulatory subunit b (b56) delta) related intellectual disability
7810701000006113,Hair defect with photosensitivity and intellectual disability syndrome
7755151000006112,Hypoplasia of corpus callosum and mental retardation with adducted thumbs and spasticity and hydrocephalus syndrome
1704791000006112,Excluded from diabetic retinopathy screening as learning disability
2731751000006110,"Amaurotic idiocy, early juvenile type"
7780801000006116,Uveal coloboma with cleft lip and palate and intellectual disability syndrome
296565012,[X]Mod retard oth behav impair
7782571000006113,Syndromic X-linked intellectual disability due to JARID1C mutation
12487761000006115,Mental retardation
12358691000006118,X-linked intellectual disability Snyder type
5932881000006113,American Association on Mental Retardation (AAMR) adaptive behaviour scale
7951691000006118,"Osteopenia, intellectual disability, sparse hair syndrome"
1175631000000111,Exception reporting - learning disability quality indicators
5130041000006112,Keratoderma with mental retardation and spastic paraplegia
342177013,Intellectual functioning disability
8365461000006118,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 7 - communication (problems with expression)
7779041000006111,X-linked intellectual disability Seemanova type
7777561000006111,"Spondyloepiphyseal dysplasia, craniosynostosis, cleft palate, cataract and intellectual disability syndrome"
3493651000006114,Moderate mental retardation (Intelligence Quotient 35-49)
7728681000006119,"Wilms tumor, aniridia, genitourinary anomalies and mental retardation syndrome"
398241000006118,[X]Mental retardation with autistic features
12703781000006112,Mild mental retardation (I.Q. 50-70)
8365421000006112,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3 - other mental and behavioural problems
8365451000006115,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 6 - communication (problems with understanding)
1550041000000110,Mild learning disability
2740431000000111,Mild mental retardation with significant impairment of behaviour
1162851000000116,Learning disability annual health check invitation
7804941000006118,Limb girdle muscular dystrophy with intellectual disability syndrome
8365601000006117,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 18 - occupation and activities
8367601000006114,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3B - problems with personal behaviours
7750911000006117,Female restricted epilepsy with intellectual disability syndrome
2740381000000117,Moderate mental retardation without significant impairment of behaviour
7804811000006112,Ataxia with deafness and intellectual disability syndrome
295664013,Intellectual disability
7791521000006116,"X-linked intellectual disability, macrocephaly, macroorchidism syndrome"
2740421000000114,Mild mental retardation without significant impairment of behaviour
7811821000006115,"Dentinogenesis imperfecta, short stature, hearing loss, intellectual disability syndrome"
12048671000006118,"ADNP-related multiple congenital anomalies, intellectual disability, autism spectrum disorder"
12181611000006117,Severe intellectual disability
7811781000006114,X-linked deafness and intellectual disability syndrome
7791251000006111,X-linked intellectual disability with seizure and psoriasis syndrome
7728701000006116,"WAGR (Wilms tumour, aniridia, genitourinary anomalies and mental retardation) syndrome"
8434091000006115,Learning Disability and Communication TOM (Therapy Outcome Measure) impairment score
7774271000006110,X-linked intellectual disability Atkin type
7832211000006114,Skeletal dysplasia with intellectual disability syndrome
7830631000006119,"CAHMR (cataract, hypertrichosis, mental retardation) syndrome"
12024021000006115,"Intellectual disability, myopathy, short stature, endocrine defect syndrome"
7733041000006111,"Distal osteolysis, short stature and intellectual disability"
401902015,[X]Unspecified mental retardation
7807621000006113,Aural atresia with multiple congenital anomalies and intellectual disability syndrome
8333341000006119,Learning disability microarray targeted genetic test
7810301000006112,"Alopecia, psychomotor epilepsy, periodontal pyorrhea, intellectual disability syndrome"
7843171000006116,Hypotrichosis and intellectual disability syndrome Lopes type
12457691000006113,Family history of mental retardation
12703941000006115,Severe mental retardation (I.Q. 20-34)
7852451000006112,Laryngeal abductor paralysis with intellectual disability syndrome
12491431000006110,CORE - LD (Clinical Outcomes in Routine Evaluation - Learning Disabilities)
1129781000000117,Severe learning disability
2548475019,On learning disability register
7826481000006116,"MEDNIK (mental retardation, enteropathy, deafness, peripheral neuropathy, ichtyosis, keratodermia) syndrome"
12000391000006116,"Hereditary motor and sensory neuropathy with deafness, intellectual disability and absent sensory large myelinated fibers"
2249771000000115,Under care of community learning disability team
12022541000006113,Intellectual disability Birk-Barel type
882771000006119,Mild mental retardation
7743661000006115,Alopecia and intellectual disability syndrome
8365531000006114,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 12 - physical problems
7850191000006110,Seizures and intellectual disability due to hydroxylysinuria
1856981000006110,Learning disability follow-up
12077291000006117,Protein phosphatase 2 regulatory subunit b (b56) delta-related intellectual disability
2474676018,Discharge from learning disability team
296592018,"[X]Other mental retardation, other impairments of behaviour"
8367821000006117,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 8 score - problems associated with hallucinations and delusions
8191411000006110,[X]Severe learning disability
2474708013,Learning disabilities health action plan declined
8367641000006111,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 1 score - behavioural problems (directed at others)
7842381000006111,"Microcephaly, seizure, intellectual disability, heart disease syndrome"
7806011000006113,Craniosynostosis with congenital heart disease and intellectual disability syndrome
1162891000000112,Learning disability annual health check verbal invitation
12321891000006112,"Intellectual disability, congenital heart disease, blepharophimosis, blepharoptosis and hypoplastic teeth"
423511000006110,"[X]Profound mental retardation, other impairments of behavr"
430081000006115,[X]Unsp mentl retard sig impairment behav req attent/treatmt
7782221000006114,"X-linked Dandy-Walker malformation with intellectual disability, basal ganglia disease and seizure syndrome"
2221871000000111,Sheffield learning disabilities outcome measure
882791000006118,Severe mental retardation
7865921000006113,"Severe intellectual disability, hypoplasia of thumb and hallux syndrome"
7938121000006116,"Cortical blindness, intellectual disability, polydactyly syndrome"
1158321000000112,Preferred place of death: learning disability unit
12031261000006119,Human immunodeficiency virus type I enhancer binding protein 2 related intellectual disability
7845931000006115,"Spastic quadriplegia, retinitis pigmentosa, intellectual disability syndrome"
2740371000000119,Severe mental retardation with impairment of behaviour
7828621000006116,"Spastic paraplegia, intellectual disability, palmoplantar hyperkeratosis syndrome"
7558731000006110,"X-linked mental retardation syndrome, Christianson type"
426521000006114,[X]Sev mental retard sig impairment behav req attent/treatmt
1840531000006119,Special educ need-complex learning difficulties and disabilities
7881911000006118,"Intellectual disability, cataract, calcified pinna, myopathy syndrome"
1009671000006116,Cause of learning disablts: Unknown/awaiting investigation
8367711000006116,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 15 score - activities of daily living outside the home
8365471000006113,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 8 - problems associated with hallucinations and delusions
12079711000006114,"Tall stature, intellectual disability, facial dysmorphism syndrome"
7730691000006117,Alpha thalassaemia X-linked intellectual disability syndrome
7830851000006110,"Microcephaly, intracranial calcification, intellectual disability syndrome"
700071000006118,"Moderate mental retardation, IQ in range 35-49"
3756831000006113,Borderline mental retardation
1856971000006112,Did not attend learning disability monitoring
2740511000000116,Mental retardation with significant impairment of behaviour
1009601000006110,Cause of learning disabilities: Congenital hydrocephalus
295661017,Other specified mental retardation
8367611000006112,"HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3C - rocking, stereotyped and ritualistic behaviour"
398811000006118,Moderate intellectual disability
2534201018,Completion of learning disabilities health action plan
7845921000006118,"Spastic tetraplegia, retinitis pigmentosa, intellectual disability syndrome"
7853111000006110,Choroid plexus calcification and mental retardation
882781000006116,Moderate mental retardation
461293018,Intellectual disability screening
8365551000006119,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 14 - activities of daily living at home
2731801000006115,Amaurotic idiocy early juvenile type
4976471000006117,Intellectual disability
7791541000006111,X-linked intellectual disability with acromegaly and hyperactivity syndrome
9881000006115,Other specified mental retardation
7728691000006116,"WAGR (Wilms tumor, aniridia, genitourinary anomalies and mental retardation) syndrome"
7830651000006114,Congenital cataract with intellectual disability and hypogonadotropic hypogonadism syndrome
7874821000006113,Intellectual disability Buenos Aires type
7958311000006114,"Hereditary congenital hypomelanotic and hypermelanotic cutaneous macules, growth retardation, intellectual disability syndrome"
2740481000000110,Mental retardation without significant impairment of behaviour
7842791000006113,Fallot complex with intellectual disability and growth delay syndrome
7826471000006119,"Intellectual disability, enteropathy, deafness, peripheral neuropathy, ichthyosis, keratoderma syndrome"
7824221000006111,Hypogonadism with mitral valve prolapse and intellectual disability syndrome
882761000006114,Mental subnormality
8434071000006116,Learning Disability and Communication TOM (Therapy Outcome Measure) activity score
423481000006119,[X]Profound ment retard sig impairmnt behav req attent/treat
430061000006113,[X]Unsp mental retard with statement no or min impairm behav
8368111000006116,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3B score - problems with personal behaviours
7519851000006112,"Blepharophimosis-mental retardation syndrome, Maat-Kievit-Brunner type"
3910921000006117,Mild mental retardation (Intelligence Quotient 50-70)
1142901000000119,Learning disabilities annual health assessment declined
12202441000006114,Mild intellectual disability
8365441000006117,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 5 - memory and orientation
1009661000006111,Cause of learning disabilities: Congenital rubella
7804551000006111,Arachnodactyly and intellectual disability with facial dysmorphism syndrome
12368911000006111,"X-linked intellectual disability, epileptic seizures, hypogonadism and hypogenitalism, microcephaly, obesity syndrome"
3267011000006111,Mental subnormality
12009551000006113,"Intellectual disability, spasticity, ectrodactyly syndrome"
988941000006119,Mental subnormality NOS
3501701000006113,"Amaurotic idiocy, juvenile type"
1775531012,"Hypogonadism, diabetes mellitus, alopecia, mental retardation and electrocardiographic abnormalities"
8367831000006119,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 9 score - problems associated with mood changes
7779091000006119,Syndromic X-linked intellectual disability type 11
2620491000006114,Imbecilitus phenylpyruvica
146051000006113,"Severe mental retardation, IQ in range 20-34"
3507751000006119,Adult-type amaurotic idiocy
8367661000006110,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 10 score - problems with sleeping
3464611000006113,"Ehlers-Danlos syndrome, mental retardation type"
8365581000006110,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 17 - problems with relationships
426611000006117,[X]Severe mental subnormality
7791801000006111,Congenital hypoplasia of ulna and intellectual disability syndrome
7844751000006111,"Corneal anesthesia, deafness, intellectual disability syndrome"
7953031000006113,"Marfanoid habitus, intellectual disability autosomal recessive"
8296661000006119,Assessment using SLDOM (Sheffield learning disabilities outcome measure)
7780361000006112,X-linked intellectual disability Pai type
7779291000006110,X-linked intellectual disability Van Esch type
2840131000006112,Developmental defect
7810251000006117,"Alopecia, contracture, dwarfism, intellectual disability syndrome"
12359591000006114,Hirschsprung disease-intellectual disability syndrome
12003071000006114,Autosomal recessive intellectual disability due to TRAPPC9 (trafficking protein particle complex 9) deficiency
7829441000006119,"Agenesis of corpus callosum, intellectual disability, coloboma, micrognathia syndrome"
7882081000006116,X-linked intellectual disability Hedera type
2740571000000114,Mental retardation with impairment of behaviour
7831891000006110,"Intellectual disability, craniofacial dysmorphism, hypogonadism, diabetes mellitus syndrome"
8368121000006112,"HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3C score - rocking, stereotyped and ritualistic behaviour"
7959041000006118,"MMR (megalocornea, mental retardation) syndrome"
1821361000006110,Intellectual functioning disability
7827481000006119,"Osteopenia, myopia, hearing loss, intellectual disability, facial dysmorphism syndrome"
423361000006118,[X]Prfnd mental retardation without mention impairment behav
7780381000006119,X-linked intellectual disability Miles-Carpenter type
12003061000006119,"Intellectual disability, obesity, brain malformation, facial dysmorphism syndrome"
12031521000006111,"X-linked intellectual disability, hypogonadism, ichthyosis, obesity, short stature syndrome"
12190771000006114,Moderate intellectual disability
3523881000006115,"Congenital insensitivity to pain, anhidrosis and mental retardation"
398411000006116,[X]Mild mental subnormality
1934631000006118,Sheffield learning disabilities outcome measure score - part 2
295662012,Other specified mental retardation NOS
8367691000006119,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 13 score - seizures
8296701000006110,SLDOM (Sheffield learning disabilities outcome measure) score
1009561000006110,Cause of learning disabilities: Meningitis/encephalitis
7772291000006116,Clinical Outcomes in Routine Evaluation Learning Disabilities
2536391000006113,Dwarfism-ichthyosiform erythroderma-mental deficiency syndrome
7780401000006119,"X-linked intellectual disability, microcephaly, testicular failure syndrome"
7832001000006117,"Male hypergonadotropic hypogonadism, intellectual disability, skeletal anomaly syndrome"
8365391000006116,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 2 - behavioural problems directed towards self (self-injury)
968201000006114,"Mental retardation, congenital heart disease, blepharophimosis, blepharoptosis and hypoplastic teeth"
7558821000006117,Brachydactyly mental retardation syndrome
2740411000000115,Moderate mental retardation with impairment of behaviour
7735001000006113,"Intellectual disability, truncal obesity, retinal dystrophy and micropenis syndrome"
12358661000006114,X-linked intellectual disability-psychosis-macroorchidism syndrome
7810311000006110,Alopecia and intellectual disability with hypergonadotropic hypogonadism syndrome
1855831000006112,Learning disability monitoring in secondary care
398761000006113,[X]Mod mental retard sig impairment behav req attent/treatmt
423501000006112,Profound intellectual disability
7683881000006112,Short stature-characteristic facies-mental retardation-macrodontia-skeletal anomalies syndrome
7876371000006111,"Cerebellar ataxia, intellectual disability, optic atrophy, skin abnormalities syndrome"
7826101000006119,Intellectual disability with cataract and kyphosis syndrome
7782241000006119,X-linked intellectual disability with dysmorphism and cerebral atrophy syndrome
12117661000006113,Assessment using HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities)
2740361000000114,Severe mental retardation with minimal impairment of behaviour
1934621000006116,Sheffield learning disabilities outcome measure score - part 1
5606361000006119,Alpha thalassemia-mental retardation syndrome
12031271000006114,HIVEP2 (human immunodeficiency virus type I enhancer binding protein 2) related intellectual disability
