medcodeid,term
3528201019,Trisomy 18
3133771000006118,Niemann-Pick disease type B
1224878018,Trisomy 21 NOS
7953561000006114,"Microcephalus, hypergonadotropic hypogonadism, short stature syndrome"
7786691000006114,Trisomy 15q11q13
2752121000006112,Mucopolysaccharidosis III-D
10374011,Laurence-Moon-Biedl syndrome
3693561000006112,"Niemann-Pick disease, type E"
88391000006115,Trisomy 22
3723291000006117,"Mucopolysaccharidosis, MPS-III-C"
2108161000000114,18q deletion syndrome
8055801000006110,MPS (mucopolysaccharidosis) type VII screening test
63898012,Amsterdam dwarf
1235347013,Zellweger's syndrome
88261000006118,Trisomy 13 - mitotic nondisjunction mosaicism
7650211000006115,Periodontitis co-occurrent with Cohen syndrome
293326016,Gaucher disease
3905631000006115,"Niemann-Pick disease, type C, acute form"
12704151000006117,Apert's syndrome
3474181000006116,MPS III-B - Mucopolysaccharidosis III-B
314772015,Acrocephalosyndactyly (Apert)
315393012,Trisomy 10
88381000006118,"Trisomy 21, translocation"
296995010,Cerebral degeneration in mucopolysaccharidoses
2800301000006113,"Niemann-Pick disease, Nova Scotian"
405346013,Deletion of long arm of chromosome 18
3645121000006119,Pfeiffer syndrome
2154221000000110,Suspected acrodysostosis
12042621000006116,Lowe Kohn Cohen syndrome
315486012,Fragile X chromosome
315397013,Trisomy 22
7778711000006119,Zellweger-like syndrome without peroxisomal anomaly
63896011,Cornelia de Lange syndrome
25776014,Coffin-Lowry syndrome
3334491000006116,Complete trisomy 18 syndrome
1009641000006112,Cause of learning disabilities: Smith-Magenis syndrome
3629731000006116,Mucopolysaccharidosis chondroitin sulphate B
2117431000000110,Carrier of fragile X gene mutation
2108171000000119,Trisomy 9 mosaic syndrome
7650271000006112,Periodontitis associated with Down syndrome
3735361000006118,Cerebral gigantism syndrome
315391014,Trisomy 8
5116401000006111,Mucopolysaccharidosis type IVB
94131019,Cohen syndrome
7781071000006113,Shprintzen Goldberg craniosynostosis syndrome
1233940019,Sotos syndrome
3359601000006113,Gaucher lipid
2694991000006116,"Gaucher's disease, type II"
7650261000006117,Periodontitis co-occurrent with Down syndrome
3936451000006114,"Mucopolysaccharidosis, MPS-III"
3689421000006116,Mucopolysaccharidosis type I-S
12017611000006115,Distal trisomy 9q
3345531000006116,Niemann-Pick disease type A
1225197013,Pfeiffer's disease
12016871000006114,Mosaic trisomy 12 syndrome
2752041000006116,"Mucopolysaccharidosis, MPS-III-D"
3735371000006113,Cerebral giant
7771711000006114,Atypical Rett syndrome
696721000006110,"Mucopolysaccharidosis, type VI"
1803731000006114,Acrodysostosis
2752091000006113,MPS III-D - Mucopolysaccharidosis III-D
