medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
3964601000006113,Subcortical leukoencephalopathy,STRK_COD,Stroke diagnosis codes,90099008,149344015
3964611000006111,Binswanger's dementia,STRK_COD,Stroke diagnosis codes,90099008,149345019
3964621000006115,Encephalitis subcorticalis chronica,STRK_COD,Stroke diagnosis codes,90099008,149346018
3964651000006112,Subcortical arteriosclerotic encephalopathy,STRK_COD,Stroke diagnosis codes,90099008,1235535015
3964661000006114,Subcortical atherosclerotic dementia,STRK_COD,Stroke diagnosis codes,90099008,1235536019
3964671000006119,Chronic progressive subcortical encephalopathy,STRK_COD,Stroke diagnosis codes,90099008,1235537011
405339016,Stroke and cerebrovascular accident unspecified,STRK_COD,Stroke diagnosis codes,230690007,345637012
4057031000006117,Brain stem infarct,STRK_COD,Stroke diagnosis codes,95457000,158114011
4057041000006110,Brain stem stroke,STRK_COD,Stroke diagnosis codes,95457000,2966556014
4057051000006112,Infarction of brain stem,STRK_COD,Stroke diagnosis codes,95457000,2966602014
411416011,Stroke in the puerperium,STRK_COD,Stroke diagnosis codes,275434003,411416011
451133011,Left sided cerebral infarction,STRK_COD,Stroke diagnosis codes,307766002,451133011
451134017,Right sided cerebral infarction,STRK_COD,Stroke diagnosis codes,307767006,451134017
4777811000006117,Basal ganglia hemorrhage,STRK_COD,Stroke diagnosis codes,195165005,300271012
4777831000006111,External capsule hemorrhage,STRK_COD,Stroke diagnosis codes,195167002,300275015
4777881000006112,"Intracerebral haemorrhage, multiple localised",STRK_COD,Stroke diagnosis codes,195169004,300280012
4777891000006110,"Intracerebral hemorrhage, multiple localized",STRK_COD,Stroke diagnosis codes,195169004,300279014
4778181000006119,Left sided cerebral hemisphere cerebrovascular accident,STRK_COD,Stroke diagnosis codes,195216008,300369014
4778201000006118,Right sided cerebral hemisphere cerebrovascular accident,STRK_COD,Stroke diagnosis codes,195217004,300372019
483988011,Bulbar haemorrhage,STRK_COD,Stroke diagnosis codes,732923001,3467313018
495394013,Cortical haemorrhage,STRK_COD,Stroke diagnosis codes,49422009,495394013
496232015,Internal capsule haemorrhage,STRK_COD,Stroke diagnosis codes,52201006,496232015
5010981000006119,Stroke,STRK_COD,Stroke diagnosis codes,230690007,345636015
5011021000006113,Cerebrovascular accident due to cerebral artery occlusion,STRK_COD,Stroke diagnosis codes,230691006,2914970017
5011161000006115,Lacunar stroke,STRK_COD,Stroke diagnosis codes,230698000,345652017
5011171000006110,LACI - Lacunar infarction,STRK_COD,Stroke diagnosis codes,230698000,345653010
5011181000006113,LI - Lacunar infarction,STRK_COD,Stroke diagnosis codes,230698000,345654016
5011191000006111,Pure motor lacunar infarction,STRK_COD,Stroke diagnosis codes,230699008,345656019
5011211000006112,Pure sensory lacunar infarction,STRK_COD,Stroke diagnosis codes,230700009,345657011
5011401000006110,Lobar cerebral hemorrhage,STRK_COD,Stroke diagnosis codes,230710000,345674011
502878012,Cerebellar haemorrhage,STRK_COD,Stroke diagnosis codes,75038005,502878012
503469016,Pontine haemorrhage,STRK_COD,Stroke diagnosis codes,7713009,503469016
503791000006114,Basal nucleus haemorrhage,STRK_COD,Stroke diagnosis codes,195165005,300272017
524511000006116,Brain stem stroke syndrome,STRK_COD,Stroke diagnosis codes,195212005,300365015
524541000006117,Brainstem infarction,STRK_COD,Stroke diagnosis codes,95457000,158113017
542251000006112,"Cereb infarct due cerebral venous thrombosis, nonpyogenic",STRK_COD,Stroke diagnosis codes,195230003,300393016
542261000006114,Cereb infarct due unsp occlus/stenos precerebr arteries,STRK_COD,Stroke diagnosis codes,125081000119106,3042974014
542831000006116,Cerebral embolus,STRK_COD,Stroke diagnosis codes,75543006,125470015
543141000006110,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,STRK_COD,Stroke diagnosis codes,20059004,33759015
5560161000006111,Intracerebral hemorrhage (ICH),STRK_COD,Stroke diagnosis codes,274100004,2819960017
57341000006119,Wallenberg syndrome,STRK_COD,Stroke diagnosis codes,78569004,130374019
605461000006117,CVA - cerebral artery occlusion,STRK_COD,Stroke diagnosis codes,230691006,345638019
605471000006112,CVA - cerebrovascular accid due to intracerebral haemorrhage,STRK_COD,Stroke diagnosis codes,274100004,409859018
605481000006110,CVA - cerebrovascular accident in the puerperium,STRK_COD,Stroke diagnosis codes,275434003,411416011
605491000006113,CVA - Cerebrovascular accident unspecified,STRK_COD,Stroke diagnosis codes,230690007,345635016
605501000006117,CVA unspecified,STRK_COD,Stroke diagnosis codes,230690007,345637012
6837051000006119,Basal ganglion stroke,STRK_COD,Stroke diagnosis codes,413102000,2966612019
6837061000006117,Basal ganglion infarct,STRK_COD,Stroke diagnosis codes,413102000,2966650013
744901000006114,Intracerebral haemorrhage,STRK_COD,Stroke diagnosis codes,274100004,2819959010
744921000006116,"Intracerebral haemorrhage in hemisphere, unspecified",STRK_COD,Stroke diagnosis codes,274100004,409860011
746571000006116,"Intracerebral haemorrhage, multiple localized",STRK_COD,Stroke diagnosis codes,195169004,300280012
748941000006115,"Left sided intracerebral haemorrhage, unspecified",STRK_COD,Stroke diagnosis codes,274100004,409859018
7951271000006116,Haemorrhage of medulla oblongata,STRK_COD,Stroke diagnosis codes,732923001,3467314012
7951281000006118,Hemorrhage of medulla oblongata,STRK_COD,Stroke diagnosis codes,732923001,3467313018
884421000006119,Cerebral haemorrhage,STRK_COD,Stroke diagnosis codes,274100004,884421000006119
989201000006117,Cerebral haemorrhage,STRK_COD,Stroke diagnosis codes,274100004,989201000006117
989211000006119,Cerebral haemorrhage NOS,STRK_COD,Stroke diagnosis codes,274100004,989211000006119
