medcodeid,term,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
8436331000006110,Dyspraxia TOM (Therapy Outcome Measure) activity score,^ESCTDY843633,,1063621000000106,2672601000000112,,31
4998161000006111,Oral-verbal dyspraxia,^ESCTOR499816,,229697008,344316016,,31
5619261000006118,Speech and language dyspraxias,^ESCTSP561926,,278920007,415986015,,31
5553491000006110,Newcastle dyspraxia assessment,^ESCTNE555349,,273646007,409186016,,31
6772911000006117,On examination - dyspraxia,^ESCTON677291,,409090001,2470909019,,31
4998171000006116,Articulatory dyspraxia,^ESCTAR499817,,229698003,344318015,,31
4998241000006115,DAD - Developmental articulatory dyspraxia,^ESCTDA499824,,229701006,344323015,,31
6007101000006114,Dyspraxia program,^ESCTDY600710,,311566000,455158014,,31
6221581000006117,Verbal dyspraxia,^ESCTVE622158,,361277007,478065019,,31
2941891000006119,Developmental dyspraxia,^ESCTDE294189,,27544004,2958128016,,31
4998351000006112,Tongue tip dyspraxia,^ESCTTO499835,,229709008,344335016,,31
4998331000006117,Dyspraxia of velopharynx,^ESCTDY499833,,229707005,344333011,,31
5548271000006116,Blakely dyspraxia assessment,^ESCTBL554827,,273322009,408656017,,31
5553621000006111,Nuffield dyspraxia program,^ESCTNU555362,,273655005,409201016,,31
8436341000006117,Dyspraxia TOM (Therapy Outcome Measure) carer wellbeing score,^ESCTDY843634,,1063631000000108,2672611000000114,,31
6007091000006115,Dyspraxia programme,^ESCTDY600709,,311566000,455159018,,31
7026221000006118,Gait dyspraxia,^ESCTGA702622,,424429009,2643281013,,31
8436351000006115,Dyspraxia TOM (Therapy Outcome Measure) impairment score,^ESCTDY843635,,1063641000000104,2672621000000115,,31
12026171000006114,"Rolandic epilepsy, speech dyspraxia syndrome",^ESCT1202617,,765093009,3656385015,,31
3373461000006112,Constructional dyspraxia,^ESCTCO337346,,53863007,496783016,,31
376931000006114,[X]Developmental dyspraxia,Eu82-3,Eu82.13,268674003,401828018,,32
2535819010,O/E - dyspraxia,2B53-1,2B53.11,6950007,12478019,,27
4998261000006116,Developmental verbal dyspraxia,^ESCTDE499826,,229703009,344327019,,31
8436371000006113,Dyspraxia TOM (Therapy Outcome Measure) wellbeing score,^ESCTDY843637,,1063661000000103,2672641000000110,,31
4571971000006113,O/E - dyspraxia,^ESCTOE457197,,163931002,2535819010,,27
2535852016,Oculomotor dyspraxia,F4835-2,F483512,193662007,2535852016,,32
633391000006114,Dyspraxia,E2F4-2,E2F4.12,6950007,12478019,,27
5553611000006115,Nuffield dyspraxia programme,^ESCTNU555361,,273655005,409202011,,31
5553601000006118,Nuffield dyspraxia assessment,^ESCTNU555360,,273654009,409200015,,31
4998291000006112,Mixed acquired dyspraxia,^ESCTMI499829,,229705002,344329016,,31
8436361000006118,Dyspraxia TOM (Therapy Outcome Measure) participation score,^ESCTDY843636,,1063651000000101,2672631000000118,,31
4998231000006113,Developmental articulatory dyspraxia,^ESCTDE499823,,229701006,344322013,,31
6221561000006110,Oral dyspraxia,^ESCTOR622156,,361275004,478060012,,32
4998341000006110,Velar dyspraxia,^ESCTVE499834,,229708000,344334017,,31
4998281000006114,Acquired choreiform dyspraxia,^ESCTAC499828,,229704003,344328012,,31
4997871000006113,Deep dysgraphia,^ESCTDE499787,,229677003,344284014,,31
4997881000006111,Phonological dysgraphia,^ESCTPH499788,,229678008,344285010,,31
317129014,Dysgraphia,R0132,R013200,88278002,146350012,,32
4997891000006114,Surface dysgraphia,^ESCTSU499789,,229679000,344286011,,31
8444591000006113,Difficulty writing for lessons,^ESCTDI844459,,1071291000000102,2689921000000111,,31
5883721000006114,Difficulty writing check,^ESCTDI588372,,300704000,3304513015,,31
4082911000006116,Difficulty writing,^ESCTDI408291,,102938007,256730019,,31
5883711000006118,Difficulty writing cheque,^ESCTDI588371,,300704000,3304512013,,31
8444601000006117,Difficulty writing messages,^ESCTDI844460,,1071301000000103,2689931000000113,,31
8444611000006119,Difficulty writing own name,^ESCTDI844461,,1071311000000101,2689341000000117,,31
8444581000006110,Difficulty writing for examinations,^ESCTDI844458,,1071281000000104,2689911000000117,,31
3275221000006113,Mathematics disorder,^ESCTMA327522,,47916000,79855019,,31
