medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
472411018,Grand mal epilepsy,EPIL_COD,Epilepsy diagnosis codes,352818000,472411018
4769481000006114,Generalized non-convulsive epilepsy,EPIL_COD,Epilepsy diagnosis codes,192979009,297263012
4769491000006112,Generalized nonconvulsive epilepsy,EPIL_COD,Epilepsy diagnosis codes,192979009,2550889014
4769501000006116,Generalised nonconvulsive epilepsy,EPIL_COD,Epilepsy diagnosis codes,192979009,2550890017
4769611000006117,TLE - Temporal lobe epilepsy,EPIL_COD,Epilepsy diagnosis codes,193000002,297297017
4769621000006113,Psychomotor seizure,EPIL_COD,Epilepsy diagnosis codes,193000002,297298010
4769641000006118,Mesiobasal limbic epilepsy,EPIL_COD,Epilepsy diagnosis codes,193003000,297301014
4769661000006119,Automatism petit mal,EPIL_COD,Epilepsy diagnosis codes,193004006,2162223016
4769671000006114,Automatism absence,EPIL_COD,Epilepsy diagnosis codes,193004006,2162224010
4769681000006112,Complex partial seizure with automatisms,EPIL_COD,Epilepsy diagnosis codes,193004006,2162225011
4769691000006110,Complex partial seizures with automatisms,EPIL_COD,Epilepsy diagnosis codes,193004006,2162226012
4769701000006110,Epileptic complex partial seizures with automatisms,EPIL_COD,Epilepsy diagnosis codes,193004006,2966636015
4769771000006116,Cursive epilepsy,EPIL_COD,Epilepsy diagnosis codes,193021002,3491715012
4769781000006118,Running epilepsy,EPIL_COD,Epilepsy diagnosis codes,193021002,3491716013
4769801000006119,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset,EPIL_COD,Epilepsy diagnosis codes,193022009,297326017
477355017,Psychomotor epilepsy,EPIL_COD,Epilepsy diagnosis codes,361123003,477355017
478024019,Alcohol-induced epilepsy,EPIL_COD,Epilepsy diagnosis codes,361268000,478024019
500033015,Generalised convulsive epilepsy,EPIL_COD,Epilepsy diagnosis codes,65120008,500033015
5004721000006111,Rasmussen encephalitis,EPIL_COD,Epilepsy diagnosis codes,230191005,344987014
5007071000006118,Local epilepsy,EPIL_COD,Epilepsy diagnosis codes,230381009,345226016
5007091000006117,Localization-related epilepsy,EPIL_COD,Epilepsy diagnosis codes,230381009,345228015
5007171000006117,Benign occipital epilepsy of childhood - early onset variant,EPIL_COD,Epilepsy diagnosis codes,230387008,345236012
5007681000006112,Unverricht-Lundborg syndrome,EPIL_COD,Epilepsy diagnosis codes,230423006,345289013
5007691000006110,Unverricht-Lundborg disease,EPIL_COD,Epilepsy diagnosis codes,230423006,345290016
5007701000006110,Baltic myoclonus epilepsy,EPIL_COD,Epilepsy diagnosis codes,230423006,345291017
5007721000006117,Lafora body disease,EPIL_COD,Epilepsy diagnosis codes,230425004,345294013
5008011000006114,Catamenial epilepsy,EPIL_COD,Epilepsy diagnosis codes,230444006,345322016
