medcodeid,term,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
750551000006113,Late effect of fracture neck of femur,SC03,SC03.00,210967007,322038016,,32
2649001000006116,Late effect of fracture of spine AND/OR trunk without spinal cord lesion,^ESCTLA264900,,9341001,16387012,,32
2868601000006118,Late effect of fracture of upper extremities,^ESCTLA286860,,23123006,38829019,,32
2772811000006111,Late effect of fracture of neck of femur,^ESCTLA277281,,17194005,29076014,,31
325691019,Late effect of fracture of lower extremities,SyuL4,SyuL400,36758002,61319016,,32
456416014,Late effect of fracture of lumbar vertebra,SC012,SC01200,312662008,456416014,,32
750591000006119,Late effect of fracture of spine and trunk without mention of cord lesion,SC01,SC01.00,9341001,510311016,,32
1223045018,Late effect of fracture of arm,SC02,SC02.00,23123006,1223045018,,32
456414012,Late effect of fracture of cervical vertebra,SC010,SC01000,312660000,456414012,,32
3686451000006118,Late effect of fracture of multiple bones,^ESCTLA368645,,72933006,121146018,,31
456415013,Late effect of fracture of thoracic vertebra,SC011,SC01100,312661001,456415013,,32
62810012,Late effect of fracture of skull and face bones,SC00,SC00.00,37655003,62810012,,32
3106341000006111,Late effect of fracture of skull AND/OR face bones,^ESCTLA310634,,37655003,62809019,,32
322029018,Sequelae of fracture at wrist and hand level,SC3C0,SC3C000,210958007,322029018,,32
2649011000006118,Sequelae of fracture of spine,^ESCTSE264901,,9341001,510310015,,32
3106361000006110,Sequelae of fracture of skull and facial bones,^ESCTSE310636,,37655003,486775012,,32
322038016,Sequelae of fracture of femur,SC3D4,SC3D400,210967007,322038016,,32
2868611000006115,Sequelae of fracture of arm,^ESCTSE286861,,23123006,1223044019,,32
321974013,Late effect of other fracture of leg,SC04,SC04.00,210962001,322033013,,32
321975014,Late effect of multiple and unspecified fracture of bones,SC05,SC05.00,210916009,321965011,,32
