prodcodeid,dmdcode,termfromemis,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,release
917641000033111,321847007,Mianserin 20mg tablets,Mianserin 20mg tablets,Mianserin hydrochloride,20.000mg,Tablet,Oral,4030100,4030100
917741000033119,321848002,Mianserin 30mg tablets,Mianserin 30mg tablets,Mianserin hydrochloride,30.000mg,Tablet,Oral,4030100,4030100
919641000033115,321998002,Mirtazapine 30mg tablets,Mirtazapine 30mg tablets,Mirtazapine,30.000mg,Tablet,Oral,,
3256741000033118,375193003,Mirtazapine 15mg tablets,Mirtazapine 15mg tablets,Mirtazapine,15.000mg,Tablet,Oral,,
3029641000033112,375194009,Mirtazapine 15mg orodispersible tablets,Mirtazapine 15mg orodispersible tablets,Mirtazapine,15.000mg,Orodispersible tablet,Oral,4030400,4030400
2974841000033114,375195005,Mirtazapine 30mg orodispersible tablets,Mirtazapine 30mg orodispersible tablets,Mirtazapine,30.000mg,Orodispersible tablet,Oral,4030400,4030400
3256841000033111,375196006,Mirtazapine 45mg tablets,Mirtazapine 45mg tablets,Mirtazapine,45.000mg,Tablet,Oral,,
1558041000033118,523611000001107,Zispin 30mg tablets (Organon Laboratories Ltd),Zispin 30mg tablets,Mirtazapine,30.000mg,Tablet,Oral,,
3078541000033115,4859711000001106,Zispin SolTab 30mg orodispersible tablets (Merck Sharp & Dohme Ltd),Zispin SolTab 30mg orodispersible tablets,Mirtazapine,30.000mg,Orodispersible tablet,Oral,4030400,4030400
3029941000033117,5595811000001101,Zispin SolTab 45mg orodispersible tablets (Merck Sharp & Dohme Ltd),Zispin SolTab 45mg orodispersible tablets,Mirtazapine,45.000mg,Orodispersible tablet,Oral,4030400,4030400
3029841000033113,5608811000001102,Zispin SolTab 15mg orodispersible tablets (Merck Sharp & Dohme Ltd),Zispin SolTab 15mg orodispersible tablets,Mirtazapine,15.000mg,Orodispersible tablet,Oral,4030400,4030400
3029741000033115,5627911000001100,Mirtazapine 45mg orodispersible tablets,Mirtazapine 45mg orodispersible tablets,Mirtazapine,45.000mg,Orodispersible tablet,Oral,4030400,4030400
3058741000033113,9103511000001102,Mirtazapine 15mg/ml oral solution sugar free,Mirtazapine 15mg/ml oral solution sugar free,Mirtazapine,15.000mg/1.000ml,Oral solution,Oral,4030400,4030400
937241000033118,321913005,Moclobemide 150mg tablets,Moclobemide 150mg tablets,Moclobemide,150.000mg,Tablet,Oral,4030200,4030200
937841000033119,321915003,Moclobemide 300mg tablets,Moclobemide 300mg tablets,Moclobemide,300.000mg,Tablet,Oral,4030200,4030200
868941000033111,48311000001107,Manerix 300mg tablets (Mylan),Manerix 300mg tablets,Moclobemide,300.000mg,Tablet,Oral,4030200,4030200
868841000033115,538111000001106,Manerix 150mg tablets (Mylan),Manerix 150mg tablets,Moclobemide,150.000mg,Tablet,Oral,4030200,4030200
989141000033111,321861002,Nortriptyline 10mg tablets,Nortriptyline 10mg tablets,Nortriptyline hydrochloride,10.000mg,Tablet,Oral,7040200,7040200
989241000033116,321864005,Nortriptyline 25mg tablets,Nortriptyline 25mg tablets,Nortriptyline hydrochloride,25.000mg,Tablet,Oral,7040200,7040200
3179941000033111,321927000,Nortriptyline 10mg / Fluphenazine 500microgram tablets,Nortriptyline 10mg / Fluphenazine 500microgram tablets,Fluphenazine hydrochloride/ Nortriptyline hydrochloride,500.000microgram + 10.000mg,Tablet,Oral,,
938941000033114,125111000001109,Motival 10mg/500microgram tablets (Sanofi),Motival 10mg/500microgram tablets,Fluphenazine hydrochloride/ Nortriptyline hydrochloride,500.000microgram + 10.000mg,Tablet,Oral,,
938841000033118,491811000001108,Motipress tablets (Sanofi-Synthelabo Ltd),Motipress tablets,Fluphenazine hydrochloride/ Nortriptyline hydrochloride,1.500mg + 30.000mg,Tablet,Oral,,
38841000033112,629711000001106,Allegron 25mg tablets (King Pharmaceuticals Ltd),Allegron 25mg tablets,Nortriptyline hydrochloride,25.000mg,Tablet,Oral,7040200,7040200
38741000033119,893811000001100,Allegron 10mg tablets (King Pharmaceuticals Ltd),Allegron 10mg tablets,Nortriptyline hydrochloride,10.000mg,Tablet,Oral,7040200,7040200
11072841000033114,15000611000001107,Nortriptyline 10mg/5ml oral solution,Nortriptyline 10mg/5ml oral solution,Nortriptyline hydrochloride,2.000mg/1.000ml,Oral solution,Oral,,
12257841000033117,15000711000001103,Nortriptyline 10mg/5ml oral suspension,Nortriptyline 10mg/5ml oral suspension,Nortriptyline hydrochloride,2.000mg/1.000ml,Oral suspension,Oral,,
12292341000033116,34034111000001108,Nortriptyline 50mg tablets,Nortriptyline 50mg tablets,Nortriptyline hydrochloride,50.000mg,Tablet,Oral,,
13300841000033111,37868911000001103,Nortriptyline 10mg/5ml oral solution sugar free,Nortriptyline 10mg/5ml oral solution sugar free,Nortriptyline hydrochloride,2.000mg/1.000ml,Oral solution,Oral,,
13300941000033115,37869011000001107,Nortriptyline 25mg/5ml oral solution sugar free,Nortriptyline 25mg/5ml oral solution sugar free,Nortriptyline hydrochloride,5.000mg/1.000ml,Oral solution,Oral,,
979241000033110,38285811000001101,Nortriptyline 10mg capsules,Nortriptyline 10mg capsules,Nortriptyline hydrochloride,10.000mg,Capsule,Oral,,
979341000033117,38285911000001106,Nortriptyline 25mg capsules,Nortriptyline 25mg capsules,Nortriptyline hydrochloride,25.000mg,Capsule,Oral,,
1042141000033117,321964006,Paroxetine 20mg tablets,Paroxetine 20mg tablets,Paroxetine hydrochloride,20.000mg,Tablet,Oral,4030300,4030300
1042241000033112,321966008,Paroxetine 30mg tablets,Paroxetine 30mg tablets,Paroxetine hydrochloride,30.000mg,Tablet,Oral,4030300,4030300
4079041000033115,421041006,Paroxetine 10mg tablets,Paroxetine 10mg tablets,Paroxetine hydrochloride,10.000mg,Tablet,Oral,4030300,4030300
11755441000033119,422084009,Paroxetine 40mg tablets,Paroxetine 40mg tablets,Paroxetine hydrochloride,40.000mg,Tablet,Oral,,
1686141000033119,16811000001109,Seroxat 20mg/10ml liquid (GlaxoSmithKline UK Ltd),Seroxat 20mg/10ml liquid,Paroxetine hydrochloride,2.000mg/1.000ml,Oral suspension,Oral,4030300,4030300
1278341000033111,477511000001109,Seroxat 20mg tablets (GlaxoSmithKline UK Ltd),Seroxat 20mg tablets,Paroxetine hydrochloride,20.000mg,Tablet,Oral,4030300,4030300
1278441000033117,738111000001107,Seroxat 30mg tablets (GlaxoSmithKline UK Ltd),Seroxat 30mg tablets,Paroxetine hydrochloride,30.000mg,Tablet,Oral,4030300,4030300
4079141000033116,11270611000001109,Seroxat 10mg tablets (GlaxoSmithKline UK Ltd),Seroxat 10mg tablets,Paroxetine hydrochloride,10.000mg,Tablet,Oral,4030300,4030300
1662441000033114,36565911000001109,Paroxetine 10mg/5ml oral suspension sugar free,Paroxetine 10mg/5ml oral suspension sugar free,Paroxetine hydrochloride,2.000mg/1.000ml,Oral suspension,Oral,4030300,4030300
1079341000033111,321902007,Phenelzine 15mg tablets,Phenelzine 15mg tablets,Phenelzine sulfate,15.000mg,Tablet,Oral,4030200,4030200
955241000033110,32511000001104,Nardil 15mg tablets (Neon Healthcare Ltd),Nardil 15mg tablets,Phenelzine sulfate,15.000mg,Tablet,Oral,4030200,4030200
13719241000033117,38976911000001105,Phenelzine 15mg capsules,Phenelzine 15mg capsules,Phenelzine sulfate,15.000mg,Capsule,Oral,,
1165641000033115,321996003,Reboxetine 4mg tablets,Reboxetine 4mg tablets,Reboxetine mesilate,4.000mg,Tablet,Oral,4030400,4030400
496741000033118,576711000001106,Edronax 4mg tablets (Pfizer Ltd),Edronax 4mg tablets,Reboxetine mesilate,4.000mg,Tablet,Oral,4030400,4030400
1278841000033119,321959007,Sertraline 50mg tablets,Sertraline 50mg tablets,Sertraline hydrochloride,50.000mg,Tablet,Oral,4030300,4030300
1278741000033112,321960002,Sertraline 100mg tablets,Sertraline 100mg tablets,Sertraline hydrochloride,100.000mg,Tablet,Oral,4030300,4030300
854141000033113,687611000001102,Lustral 100mg tablets (Upjohn UK Ltd),Lustral 100mg tablets,Sertraline hydrochloride,100.000mg,Tablet,Oral,4030300,4030300
854241000033118,936411000001108,Lustral 50mg tablets (Upjohn UK Ltd),Lustral 50mg tablets,Sertraline hydrochloride,50.000mg,Tablet,Oral,4030300,4030300
5975341000033119,8721711000001105,Sertraline 100mg/5ml oral suspension,Sertraline 100mg/5ml oral suspension,Sertraline hydrochloride,20.000mg/1.000ml,Oral suspension,Oral,,
4148341000033116,8721911000001107,Sertraline 50mg/5ml oral suspension,Sertraline 50mg/5ml oral suspension,Sertraline hydrochloride,10.000mg/1.000ml,Oral suspension,Oral,,
12900941000033117,13045911000001105,Sertraline 25mg/5ml oral suspension,Sertraline 25mg/5ml oral suspension,Sertraline hydrochloride,5.000mg/1.000ml,Oral suspension,Oral,,
1469441000033116,321910008,Tranylcypromine 10mg tablets,Tranylcypromine 10mg tablets,Tranylcypromine sulfate,10.000mg,Tablet,Oral,4030200,4030200
1473641000033113,321877001,Trazodone 150mg tablets,Trazodone 150mg tablets,Trazodone hydrochloride,150.000mg,Tablet,Oral,4030100,4030100
1455241000033113,321880000,Trazodone 100mg capsules,Trazodone 100mg capsules,Trazodone hydrochloride,100.000mg,Capsule,Oral,4030100,4030100
1454641000033112,321881001,Trazodone 50mg capsules,Trazodone 50mg capsules,Trazodone hydrochloride,50.000mg,Capsule,Oral,4030100,4030100
13444241000033119,376689003,Trazodone 50mg tablets,Trazodone 50mg tablets,Trazodone hydrochloride,50.000mg,Tablet,Oral,,
13444341000033112,376690007,Trazodone 100mg tablets,Trazodone 100mg tablets,Trazodone hydrochloride,100.000mg,Tablet,Oral,,
938741000033111,1811000001101,Molipaxin 150mg tablets (Zentiva),Molipaxin 150mg tablets,Trazodone hydrochloride,150.000mg,Tablet,Oral,4030100,4030100
923241000033113,75511000001108,Molipaxin 100mg capsules (Zentiva),Molipaxin 100mg capsules,Trazodone hydrochloride,100.000mg,Capsule,Oral,4030100,4030100
923041000033117,369211000001100,Molipaxin 50mg capsules (Zentiva),Molipaxin 50mg capsules,Trazodone hydrochloride,50.000mg,Capsule,Oral,4030100,4030100
929541000033113,3904511000001104,Molipaxin 50mg/5ml oral liquid (Sanofi),Molipaxin 50mg/5ml oral liquid,Trazodone hydrochloride,10.000mg/1.000ml,Oral solution,Oral,4030100,4030100
1461941000033113,3909411000001104,Trazodone 50mg/5ml oral solution sugar free,Trazodone 50mg/5ml oral solution sugar free,Trazodone hydrochloride,10.000mg/1.000ml,Oral solution,Oral,4030100,4030100
929841000033110,4549511000001102,Molipaxin CR 150mg tablets (Aventis Pharma),Molipaxin CR 150mg tablets,Trazodone hydrochloride,150.000mg,Modified-release tablet,Oral,,
1462241000033110,4557211000001109,Trazodone 150mg modified-release tablets,Trazodone 150mg modified-release tablets,Trazodone hydrochloride,150.000mg,Modified-release tablet,Oral,,
12476541000033119,35113311000001104,Trazodone 100mg/5ml oral solution sugar free,Trazodone 100mg/5ml oral solution sugar free,Trazodone hydrochloride,20.000mg/1.000ml,Oral solution,Oral,,
1512241000033119,321970000,Venlafaxine 37.5mg tablets,Venlafaxine 37.5mg tablets,Venlafaxine hydrochloride,37.500mg,Tablet,Oral,4030400,4030400
