prodcodeid,dmdcode,termfromemis,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,release
5574641000033117,16455011000001106,Tonpular XL 75mg capsules (Wockhardt UK Ltd),Tonpular XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
5574741000033114,16455211000001101,Tonpular XL 150mg capsules (Wockhardt UK Ltd),Tonpular XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
5813341000033119,16492111000001107,Alventa XL 75mg capsules (Consilient Health Ltd),Alventa XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
5813141000033117,16492311000001109,Alventa XL 150mg capsules (Consilient Health Ltd),Alventa XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
5889541000033114,17662211000001102,Mentaven XL 75mg capsules (Arrow Generics Ltd),Mentaven XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
5889641000033110,17662411000001103,Mentaven XL 150mg capsules (Arrow Generics Ltd),Mentaven XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
5896441000033118,17737011000001107,Depefex XL 150mg capsules (Chiesi Ltd),Depefex XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
5896341000033112,17737211000001102,Depefex XL 75mg capsules (Chiesi Ltd),Depefex XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
6029741000033113,18148611000001104,Venlaneo XL 75mg capsules (Kent Pharmaceuticals Ltd),Venlaneo XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
6029641000033116,18148811000001100,Venlaneo XL 150mg capsules (Kent Pharmaceuticals Ltd),Venlaneo XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
6161841000033118,18748311000001101,Venlalic XL 37.5mg tablets (Ethypharm UK Ltd),Venlalic XL 37.5mg tablets,Venlafaxine hydrochloride,37.500mg,Modified-release tablet,Oral,,
6161741000033111,18765111000001101,Venlafaxine 37.5mg modified-release tablets,Venlafaxine 37.5mg modified-release tablets,Venlafaxine hydrochloride,37.500mg,Modified-release tablet,Oral,,
8298741000033112,21965311000001104,Sunveniz XL 75mg tablets (Sun Pharmaceutical Industries Europe B.V.),Sunveniz XL 75mg tablets,Venlafaxine hydrochloride,75.000mg,Modified-release tablet,Oral,,
8298641000033115,21990711000001108,Sunveniz XL 150mg tablets (Sun Pharmaceutical Industries Europe B.V.),Sunveniz XL 150mg tablets,Venlafaxine hydrochloride,150.000mg,Modified-release tablet,Oral,,
8265641000033113,21992211000001100,Bonilux XL 150mg capsules (Sandoz Ltd),Bonilux XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
8265541000033112,21992411000001101,Bonilux XL 75mg capsules (Sandoz Ltd),Bonilux XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
12605441000033117,23343211000001100,Venladex XL 150mg tablets (Dexcel-Pharma Ltd),Venladex XL 150mg tablets,Venlafaxine hydrochloride,150.000mg,Modified-release tablet,Oral,,
12605341000033111,23343411000001101,Venladex XL 75mg tablets (Dexcel-Pharma Ltd),Venladex XL 75mg tablets,Venlafaxine hydrochloride,75.000mg,Modified-release tablet,Oral,,
8885541000033117,23474511000001108,Venlablue XL 37.5mg capsules (Zentiva),Venlablue XL 37.5mg capsules,Venlafaxine hydrochloride,37.500mg,Modified-release capsule,Oral,,
8885441000033118,23560511000001101,Venlafaxine 37.5mg modified-release capsules,Venlafaxine 37.5mg modified-release capsules,Venlafaxine hydrochloride,37.500mg,Modified-release capsule,Oral,,
9300841000033114,24676911000001109,Amphero XL 150mg capsules (Mylan),Amphero XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
9300741000033116,24677311000001106,Amphero XL 75mg capsules (Mylan),Amphero XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
10730141000033114,30991111000001106,Efexor XL 225mg capsules (Upjohn UK Ltd),Efexor XL 225mg capsules,Venlafaxine hydrochloride,225.000mg,Modified-release capsule,Oral,,
10730041000033110,31016011000001103,Venlafaxine 225mg modified-release capsules,Venlafaxine 225mg modified-release capsules,Venlafaxine hydrochloride,225.000mg,Modified-release capsule,Oral,,
11693641000033117,32833611000001107,Vensir XL 225mg capsules (Morningside Healthcare Ltd),Vensir XL 225mg capsules,Venlafaxine hydrochloride,225.000mg,Modified-release capsule,Oral,,
12194641000033117,34180611000001109,Vencarm XL 225mg capsules (Aspire Pharma Ltd),Vencarm XL 225mg capsules,Venlafaxine hydrochloride,225.000mg,Modified-release capsule,Oral,,
12194541000033118,34180811000001108,Vencarm XL 150mg capsules (Aspire Pharma Ltd),Vencarm XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
12194841000033116,34181011000001106,Vencarm XL 75mg capsules (Aspire Pharma Ltd),Vencarm XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
12194741000033114,34181211000001101,Vencarm XL 37.5mg capsules (Aspire Pharma Ltd),Vencarm XL 37.5mg capsules,Venlafaxine hydrochloride,37.500mg,Modified-release capsule,Oral,,
12390341000033114,34740711000001101,Venlasov XL 150mg capsules (Sovereign Medical Ltd),Venlasov XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
12389941000033119,34740911000001104,Venlasov XL 75mg capsules (Sovereign Medical Ltd),Venlasov XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
12605541000033116,35638211000001107,Venladex XL 225mg tablets (Dexcel-Pharma Ltd),Venladex XL 225mg tablets,Venlafaxine hydrochloride,225.000mg,Modified-release tablet,Oral,,
12641541000033113,35797111000001102,Venzip XL 150mg capsules (Milpharm Ltd),Venzip XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
12641641000033114,35797611000001105,Venzip XL 75mg capsules (Milpharm Ltd),Venzip XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
12901041000033110,36606311000001107,Majoven XL 37.5mg capsules (Bristol Laboratories Ltd),Majoven XL 37.5mg capsules,Venlafaxine hydrochloride,37.500mg,Modified-release capsule,Oral,,
12901141000033114,36606511000001101,Majoven XL 75mg capsules (Bristol Laboratories Ltd),Majoven XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
12901241000033119,36606711000001106,Majoven XL 150mg capsules (Bristol Laboratories Ltd),Majoven XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
12904541000033119,36656911000001104,ViePax XL 225mg tablets (Dexcel-Pharma Ltd),ViePax XL 225mg tablets,Venlafaxine hydrochloride,225.000mg,Modified-release tablet,Oral,,
12986241000033113,36845311000001101,Apclaven XL 37.5mg capsules (Torrent Pharma (UK) Ltd),Apclaven XL 37.5mg capsules,Venlafaxine hydrochloride,37.500mg,Modified-release capsule,Oral,,
12986341000033115,36845711000001102,Apclaven XL 75mg capsules (Torrent Pharma (UK) Ltd),Apclaven XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
12986441000033114,36846211000001103,Apclaven XL 150mg capsules (Torrent Pharma (UK) Ltd),Apclaven XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
13318441000033113,37997111000001105,Venlalic XL 300mg tablets (Ethypharm UK Ltd),Venlalic XL 300mg tablets,Venlafaxine hydrochloride,300.000mg,Modified-release tablet,Oral,,
13318341000033119,38003311000001102,Venlafaxine 300mg modified-release tablets,Venlafaxine 300mg modified-release tablets,Venlafaxine hydrochloride,300.000mg,Modified-release tablet,Oral,,
1509341000033117,38750311000001104,Venlafaxine 75mg modified-release capsules,Venlafaxine 75mg modified-release capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,4030400,4030400
1509241000033110,38750411000001106,Venlafaxine 150mg modified-release capsules,Venlafaxine 150mg modified-release capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,4030400,4030400
10617241000033117,30247511000001100,Brintellix 5mg tablets (Lundbeck Ltd),Brintellix 5mg tablets,Vortioxetine hydrobromide,5.000mg,Tablet,Oral,4030400,4030400
10617441000033116,30247811000001102,Brintellix 20mg tablets (Lundbeck Ltd),Brintellix 20mg tablets,Vortioxetine hydrobromide,20.000mg,Tablet,Oral,4030400,4030400
10617341000033110,30248111000001105,Brintellix 10mg tablets (Lundbeck Ltd),Brintellix 10mg tablets,Vortioxetine hydrobromide,10.000mg,Tablet,Oral,4030400,4030400
10617041000033113,30738611000001105,Vortioxetine 10mg tablets,Vortioxetine 10mg tablets,Vortioxetine hydrobromide,10.000mg,Tablet,Oral,4030400,4030400
10617141000033112,30738711000001101,Vortioxetine 20mg tablets,Vortioxetine 20mg tablets,Vortioxetine hydrobromide,20.000mg,Tablet,Oral,4030400,4030400
10616941000033112,30738811000001109,Vortioxetine 5mg tablets,Vortioxetine 5mg tablets,Vortioxetine hydrobromide,5.000mg,Tablet,Oral,4030400,4030400
13495041000033117,38499811000001103,Spravato 28mg/0.2ml nasal spray unit dose (Janssen-Cilag Ltd),Spravato 28mg/0.2ml nasal spray unit dose,Esketamine hydrochloride,140.000mg/1.000ml,Spray,Nasal,,
13494941000033117,38515511000001108,Esketamine 28mg/0.2ml nasal spray unit dose,Esketamine 28mg/0.2ml nasal spray unit dose,Esketamine hydrochloride,140.000mg/1.000ml,Spray,Nasal,,
