"MedCodeID","Term","QOFClusterID","QOFClusterDesc","QOFSnomedCTConceptId","SnomedCTDescriptionId","QOFUnmatchedCodeDescription"
,,"CAN_COD","Codes for relevant malignancies","94419008",,"Secondary malignant neoplasm of muscle of buttock"
,,"CAN_COD","Codes for relevant malignancies","94418000",,"Secondary malignant neoplasm of muscle of abdomen"
,,"CAN_COD","Codes for relevant malignancies","94075002",,"Primary malignant neoplasm of subglottis"
,,"CAN_COD","Codes for relevant malignancies","94416001",,"Secondary malignant neoplasm of mouth"
,,"CAN_COD","Codes for relevant malignancies","94220000",,"Secondary malignant neoplasm of bone of skull"
,,"CAN_COD","Codes for relevant malignancies","94414003",,"Secondary malignant neoplasm of middle third of esophagus"
,,"CAN_COD","Codes for relevant malignancies","94413009",,"Secondary malignant neoplasm of middle ear"
,,"CAN_COD","Codes for relevant malignancies","94412004",,"Secondary malignant neoplasm of metatarsal bone"
,,"CAN_COD","Codes for relevant malignancies","94411006",,"Secondary malignant neoplasm of metacarpal bone"
,,"CAN_COD","Codes for relevant malignancies","94201002",,"Secondary malignant neoplasm of blood vessel of neck"
,,"CAN_COD","Codes for relevant malignancies","94202009",,"Secondary malignant neoplasm of blood vessel of pelvis"
,,"CAN_COD","Codes for relevant malignancies","94203004",,"Secondary malignant neoplasm of blood vessel of perineum"
,,"CAN_COD","Codes for relevant malignancies","94417005",,"Secondary malignant neoplasm of multiple endocrine glands"
,,"CAN_COD","Codes for relevant malignancies","94173006",,"Secondary malignant neoplasm of aortic body"
,,"CAN_COD","Codes for relevant malignancies","94487002",,"Secondary malignant neoplasm of phalanx of hand"
,,"CAN_COD","Codes for relevant malignancies","94496002",,"Secondary malignant neoplasm of posterior hypopharyngeal wall"
,,"CAN_COD","Codes for relevant malignancies","94495003",,"Secondary malignant neoplasm of postcricoid region"
,,"CAN_COD","Codes for relevant malignancies","94167005",,"Secondary malignant neoplasm of anterior mediastinum"
,,"CAN_COD","Codes for relevant malignancies","94168000",,"Secondary malignant neoplasm of anterior portion of floor of mouth"
,,"CAN_COD","Codes for relevant malignancies","94169008",,"Secondary malignant neoplasm of anterior two-thirds of tongue"
,,"CAN_COD","Codes for relevant malignancies","94170009",,"Secondary malignant neoplasm of anterior wall of nasopharynx"
,,"CAN_COD","Codes for relevant malignancies","94498001",,"Secondary malignant neoplasm of posterior wall of nasopharynx"
,,"CAN_COD","Codes for relevant malignancies","94172001",,"Secondary malignant neoplasm of anus"
,,"CAN_COD","Codes for relevant malignancies","94499009",,"Secondary malignant neoplasm of posterior wall of oropharynx"
,,"CAN_COD","Codes for relevant malignancies","94175004",,"Secondary malignant neoplasm of appendix"
,,"CAN_COD","Codes for relevant malignancies","94185003",,"Secondary malignant neoplasm of biliary tract"
,,"CAN_COD","Codes for relevant malignancies","94492000",,"Secondary malignant neoplasm of placenta"
,,"CAN_COD","Codes for relevant malignancies","94291000119103",,"Mucinous adenocarcinoma of gastrointestinal tract"
,,"CAN_COD","Codes for relevant malignancies","94490008",,"Secondary malignant neoplasm of pisiform bone of hand"
