medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
506053014,Purulent chronic bronchitis,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,84409004,506053014
508561017,Simple chronic bronchitis,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,61937009,102938011
508562012,Chronic catarrhal bronchitis,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,89549007,508562012
516801000000112,Very severe chronic obstructive pulmonary disease,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,293991000000106,516801000000112
555471000006114,Chronic obstructive airways disease,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,13645005,475423015
640491000006111,Emphysema,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,87433001,144964015
87480013,Chronic tracheobronchitis,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,52571006,87480013
885281000006118,Mucopurulent chr. bronchitis,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,74417001,885281000006118
9317331000006113,Asthma-COPD overlap syndrome (ACOS),COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,10692761000119107,3046475015
9317341000006115,ACOS - asthma-chronic obstructive pulmonary disease overlap syndrome,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,10692761000119107,2496071000000117
9337016,Panlobular emphysema,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,4981000,9337016
990641000006110,Chronic obst. pulm. dis. NOS,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,13645005,990641000006110
990651000006112,Chr. airway obstruction NOS,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,13645005,990651000006112
